birthCity,birthState,birthYear,lat,long
San Diego,CA,1991,32.815300,-117.134993
San Diego,CA,1984,32.815300,-117.134993
San Diego,CA,1985,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Diego,CA,1987,32.815300,-117.134993
San Diego,CA,1989,32.815300,-117.134993
San Diego,CA,1981,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Diego,CA,1982,32.815300,-117.134993
San Diego,CA,1987,32.815300,-117.134993
San Diego,CA,1982,32.815300,-117.134993
San Diego,CA,1989,32.815300,-117.134993
San Diego,CA,1983,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Diego,CA,1985,32.815300,-117.134993
San Diego,CA,1982,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Diego,CA,1989,32.815300,-117.134993
San Diego,CA,1987,32.815300,-117.134993
San Diego,CA,1981,32.815300,-117.134993
San Diego,CA,1987,32.815300,-117.134993
San Diego,CA,1984,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Diego,CA,1989,32.815300,-117.134993
San Diego,CA,1988,32.815300,-117.134993
San Diego,CA,1988,32.815300,-117.134993
San Diego,CA,1980,32.815300,-117.134993
San Dimas,CA,1984,34.107957,-117.808529
San Dimas,CA,1984,34.107957,-117.808529
San Dimas,CA,1981,34.107957,-117.808529
San Fernando,CA,1984,34.288652,-118.436241
San Francisco,CA,1987,37.727239,-123.032229
San Francisco,CA,1980,37.727239,-123.032229
San Francisco,CA,1990,37.727239,-123.032229
San Jose,CA,1983,37.296739,-121.818909
San Jose,CA,1989,37.296739,-121.818909
San Jose,CA,1986,37.296739,-121.818909
San Jose,CA,1982,37.296739,-121.818909
San Jose,CA,1986,37.296739,-121.818909
San Jose,CA,1988,37.296739,-121.818909
San Jose,CA,1980,37.296739,-121.818909
San Jose,CA,1986,37.296739,-121.818909
San Juan Capistrano,CA,1992,33.500581,-117.654433
San Leandro,CA,1988,37.703368,-122.163036
San Marcos,TX,1987,29.876954,-97.931563
San Mateo,CA,1988,37.560310,-122.310600
San Mateo,CA,1992,37.560310,-122.310600
San Pedro,CA,1989,,
Sandpoint,ID,1986,48.280716,-116.560067
Sandpoint,ID,1982,48.280716,-116.560067
Sandusky,OH,1982,41.455887,-82.714410
Sandusky,OH,1984,41.455887,-82.714410
Sandusky,OH,1982,41.455887,-82.714410
Sanford,FL,1991,28.789425,-81.275624
Santa Ana,CA,1987,33.736332,-117.882952
Santa Ana,CA,1981,33.736332,-117.882952
Santa Barbara,CA,1985,34.400601,-119.712955
Santa Barbara,CA,1990,34.400601,-119.712955
Santa Barbara,CA,1982,34.400601,-119.712955
Santa Clara,CA,1990,37.364626,-121.967927
Santa Clara,CA,1986,37.364626,-121.967927
Santa Clara,CA,1984,37.364626,-121.967927
Santa Cruz,CA,1982,36.974385,-122.035268
Santa Cruz,CA,1982,36.974385,-122.035268
Santa Fe,NM,1987,35.665194,-105.973427
Santa Maria,CA,1980,34.933214,-120.443815
Santa Maria,CA,1985,34.933214,-120.443815
Santa Monica,CA,1985,34.023413,-118.481666
Santa Monica,CA,1987,34.023413,-118.481666
Santa Monica,CA,1982,34.023413,-118.481666
Santa Monica,CA,1982,34.023413,-118.481666
Santa Monica,CA,1991,34.023413,-118.481666
Santa Monica,CA,1987,34.023413,-118.481666
Santa Monica,CA,1985,34.023413,-118.481666
Santa Monica,CA,1985,34.023413,-118.481666
Santa Rosa,CA,1989,38.446816,-122.706136
Santa Rosa,CA,1983,38.446816,-122.706136
Santa Rosa,CA,1983,38.446816,-122.706136
Santa Rosa,CA,1984,38.446816,-122.706136
Santa Rosa,CA,1984,38.446816,-122.706136
Sarasota,FL,1985,27.337860,-82.545792
Sarasota,FL,1983,27.337860,-82.545792
Sarasota,FL,1984,27.337860,-82.545792
Sarasota,FL,1989,27.337860,-82.545792
Sarasota,FL,1982,27.337860,-82.545792
Sarasota,FL,1988,27.337860,-82.545792
Sarasota,FL,1988,27.337860,-82.545792
Saugus,CA,1987,,
Savannah,GA,1988,32.002512,-81.153557
Savannah,GA,1982,32.002512,-81.153557
Savannah,GA,1987,32.002512,-81.153557
Scott AFB,IL,1982,38.542964,-89.852114
Scottsdale,AZ,1981,33.684347,-111.861120
Scottsdale,AZ,1980,33.684347,-111.861120
Scottsdale,AZ,1986,33.684347,-111.861120
Seaford,NY,1989,40.667480,-73.492291
Seattle,WA,1991,47.620499,-122.350876
Seattle,WA,1993,47.620499,-122.350876
Seattle,WA,1987,47.620499,-122.350876
Seattle,WA,1983,47.620499,-122.350876
Seattle,WA,1990,47.620499,-122.350876
Seattle,WA,1982,47.620499,-122.350876
Seattle,WA,1984,47.620499,-122.350876
