nameFirst,nameLast,weight,debut,height,finalGame,baseball_ref_url,birthCity,birthState,birthYear,lat,long
Jerry,Conway,190,1920-08-31,74,1920-08-31,http://www.baseball-reference.com/players/c/conwaje01.shtml,Holyoke,MA,1901,42.211656,-72.642448
Skip,Dowd,160,1910-07-05,70,1910-07-05,http://www.baseball-reference.com/players/d/dowdki01.shtml,Holyoke,MA,1889,42.211656,-72.642448
Tommy,Dowd,173,1891-04-08,68,1901-09-28,http://www.baseball-reference.com/players/d/dowdto01.shtml,Holyoke,MA,1869,42.211656,-72.642448
Jack,Hannifin,167,1906-04-19,71,1908-10-07,http://www.baseball-reference.com/players/h/hannija01.shtml,Holyoke,MA,1883,42.211656,-72.642448
Francis,Healy,175,1930-04-29,69,1934-09-26,http://www.baseball-reference.com/players/h/healyfr01.shtml,Holyoke,MA,1910,42.211656,-72.642448
Fran,Healy,220,1969-09-03,77,1978-04-21,http://www.baseball-reference.com/players/h/healyfr02.shtml,Holyoke,MA,1946,42.211656,-72.642448
Frank,Leja,205,1954-05-01,76,1962-04-29,http://www.baseball-reference.com/players/l/lejafr01.shtml,Holyoke,MA,1936,42.211656,-72.642448
Joe,Lucey,168,1920-07-06,72,1925-06-25,http://www.baseball-reference.com/players/l/luceyjo01.shtml,Holyoke,MA,1897,42.211656,-72.642448
Mike,Lynch,170,1904-06-21,74,1907-09-25,http://www.baseball-reference.com/players/l/lynchmi02.shtml,Holyoke,MA,1880,42.211656,-72.642448
Roger,Marquis,190,1955-09-25,72,1955-09-25,http://www.baseball-reference.com/players/m/marquro01.shtml,Holyoke,MA,1937,42.211656,-72.642448
Eddie,Mayo,178,1936-05-22,71,1948-10-03,http://www.baseball-reference.com/players/m/mayoed01.shtml,Holyoke,MA,1910,42.211656,-72.642448
Ed,Moriarty,180,1935-06-21,70,1936-05-12,http://www.baseball-reference.com/players/m/moriaed01.shtml,Holyoke,MA,1912,42.211656,-72.642448
Gene,Moriarty,130,1884-06-18,68,1892-10-15,http://www.baseball-reference.com/players/m/moriage01.shtml,Holyoke,MA,1863,42.211656,-72.642448
Ray,Nelson,150,1901-05-06,69,1901-08-16,http://www.baseball-reference.com/players/n/nelsora01.shtml,Holyoke,MA,1875,42.211656,-72.642448
Dennis,O'Neill,200,1893-06-18,74,1893-07-26,http://www.baseball-reference.com/players/o/o'neide01.shtml,Holyoke,MA,1866,42.211656,-72.642448
Tommy,Tucker,165,1887-04-16,71,1899-09-13,http://www.baseball-reference.com/players/t/tucketo01.shtml,Holyoke,MA,1863,42.211656,-72.642448
Mark,Wohlers,207,1991-08-17,76,2002-09-28,http://www.baseball-reference.com/players/w/wohlema01.shtml,Holyoke,MA,1970,42.211656,-72.642448
Fay,Thomas,195,1927-06-27,74,1935-09-29,http://www.baseball-reference.com/players/t/thomafa01.shtml,Holyrood,KS,1903,38.587234,-98.411804
Lucas,Turk,165,1922-06-07,72,1922-09-29,http://www.baseball-reference.com/players/t/turklu01.shtml,Homer,GA,1898,34.337956,-83.494781
Josh,Collmenter,235,2011-04-17,76,2015-10-03,http://www.baseball-reference.com/players/c/collmjo01.shtml,Homer,MI,1986,42.146423,-84.809738
Irv,Higginbotham,196,1906-08-11,73,1909-09-11,http://www.baseball-reference.com/players/h/higgiir01.shtml,Homer,NE,1882,42.322495,-96.491210
Steve,Demeter,185,1959-07-29,69,1960-05-06,http://www.baseball-reference.com/players/d/demetst01.shtml,Homer City,PA,1935,40.5434007,-79.1622565
Hank,LaManna,195,1940-04-16,74,1942-09-19,http://www.baseball-reference.com/players/l/lamanfr02.shtml,Homer City,PA,1919,40.5434007,-79.1622565
Ralph,McConnaughey,166,1914-07-08,68,1914-08-11,http://www.baseball-reference.com/players/m/mcconra01.shtml,Homer City,PA,1889,40.5434007,-79.1622565
Elijah,Dukes,225,2007-04-02,74,2009-10-04,http://www.baseball-reference.com/players/d/dukesel01.shtml,Homestead,FL,1984,25.466608,-80.444768
Marty,Janzen,197,1996-05-12,75,1997-09-27,http://www.baseball-reference.com/players/j/janzema01.shtml,Homestead,FL,1973,25.466608,-80.444768
Bill,Armour,,,,,http://www.baseball-reference.com/players/a/armoubi99.shtml,Homestead,PA,1869,40.407278,-79.909894
Curt,Leskanic,180,1993-06-27,72,2004-10-02,http://www.baseball-reference.com/players/l/leskacu01.shtml,Homestead,PA,1968,40.407278,-79.909894
Cum,Posey,145,,69,,http://www.baseball-reference.com/players/p/poseycu99.shtml,Homestead,PA,1890,40.407278,-79.909894
Toots,Shultz,175,1911-05-05,70,1912-09-13,http://www.baseball-reference.com/players/s/shultto01.shtml,Homestead,PA,1888,40.407278,-79.909894
Clint,Hartung,210,1947-04-15,77,1952-09-28,http://www.baseball-reference.com/players/h/hartucl01.shtml,Hondo,TX,1922,29.354242,-99.161846
Tom,Burns,152,1880-05-01,67,1892-07-22,http://www.baseball-reference.com/players/b/burnsto01.shtml,Honesdale,PA,1857,41.575710,-75.250769
Dick,Hurley,160,1872-04-18,67,1872-04-23,http://www.baseball-reference.com/players/h/hurledi01.shtml,Honesdale,PA,1847,41.575710,-75.250769
Tom,Jones,195,1902-08-25,73,1910-10-09,http://www.baseball-reference.com/players/j/jonesto01.shtml,Honesdale,PA,1874,41.575710,-75.250769
Fred,Sherry,170,1911-04-25,72,1911-06-28,http://www.baseball-reference.com/players/s/sherrfr01.shtml,Honesdale,PA,1889,41.575710,-75.250769
John,Castle,,1910-04-25,70,1910-05-10,http://www.baseball-reference.com/players/c/castljo01.shtml,Honey Brook,PA,1879,40.093580,-75.910750
Tom,Patton,185,1957-04-30,69,1957-04-30,http://www.baseball-reference.com/players/p/pattoto01.shtml,Honey Brook,PA,1935,40.093580,-75.910750
Jim,Spotts,175,1930-04-23,70,1930-06-22,http://www.baseball-reference.com/players/s/spottji01.shtml,Honey Brook,PA,1909,40.093580,-75.910750
Fred,Nicholson,173,1917-04-11,70,1922-09-16,http://www.baseball-reference.com/players/n/nichofr02.shtml,Honey Grove,TX,1894,33.588095,-95.908622
Ned,Pettigrew,175,1914-04-23,71,1914-04-24,http://www.baseball-reference.com/players/p/pettine01.shtml,Honey Grove,TX,1881,33.588095,-95.908622
Benny,Agbayani,225,1998-06-17,72,2002-09-29,http://www.baseball-reference.com/players/a/agbaybe01.shtml,Honolulu,HI,1971,21.304547,-157.8556763
Doug,Capilla,160,1976-09-12,71,1981-09-29,http://www.baseball-reference.com/players/c/capildo01.shtml,Honolulu,HI,1952,21.304547,-157.8556763
Ron,Darling,195,1983-09-06,75,1995-08-15,http://www.baseball-reference.com/players/d/darliro01.shtml,Honolulu,HI,1960,21.304547,-157.8556763
